date,product,category,region,channel,quantity,revenue,profit,profit_margin,year,month,quarter,year_month
2023-01-01,Desktop Computer,Computers,South,Online,42,77312.92,20633.9,26.69,2023,1,1,2023-01
2023-01-01,Mouse Gaming,Electronics,West,Retail,89,163394.67,62912.37,38.5,2023,1,1,2023-01
2023-01-01,Printer Laser,Peripherals,North,Online,52,9025.65,1497.06,16.59,2023,1,1,2023-01
2023-01-01,Wireless Headphones,Peripherals,East,Retail,61,39974.4,8568.12,21.43,2023,1,1,2023-01
2023-01-02,Printer Laser,Audio,South,Retail,91,148426.08,26311.54,17.73,2023,1,1,2023-01
2023-01-02,Laptop Pro,Peripherals,Central,Retail,25,33188.49,8604.34,25.93,2023,1,1,2023-01
2023-01-02,Smartphone X,Peripherals,South,Retail,27,14273.96,1606.11,11.25,2023,1,1,2023-01
2023-01-02,Keyboard Mechanical,Peripherals,East,Online,76,62905.61,11364.49,18.07,2023,1,1,2023-01
2023-01-03,Printer Laser,Peripherals,West,Retail,83,153546.67,39102.0,25.47,2023,1,1,2023-01
2023-01-03,Webcam HD,Computers,Central,Direct,84,89172.88,35516.21,39.83,2023,1,1,2023-01
2023-01-03,Smartphone X,Computers,Central,Retail,31,23412.47,3562.06,15.21,2023,1,1,2023-01
2023-01-03,Laptop Pro,Electronics,Central,Direct,49,46528.09,6252.64,13.44,2023,1,1,2023-01
2023-01-03,External SSD,Audio,North,Online,53,72174.21,19251.55,26.67,2023,1,1,2023-01
2023-01-03,Monitor 4K,Peripherals,South,Online,22,29367.26,4526.51,15.41,2023,1,1,2023-01
2023-01-03,Keyboard Mechanical,Audio,West,Online,24,30988.6,12009.27,38.75,2023,1,1,2023-01
2023-01-04,Wireless Headphones,Electronics,East,Retail,58,15722.23,3164.24,20.13,2023,1,1,2023-01
2023-01-04,Webcam HD,Audio,West,Online,98,133379.55,17350.97,13.01,2023,1,1,2023-01
2023-01-04,Wireless Headphones,Accessories,West,Direct,30,27600.66,3591.12,13.01,2023,1,1,2023-01
2023-01-04,Tablet Plus,Peripherals,South,Online,66,116447.25,27555.18,23.66,2023,1,1,2023-01
2023-01-05,Smartphone X,Accessories,Central,Direct,71,116320.05,43172.28,37.12,2023,1,1,2023-01
2023-01-05,Laptop Pro,Peripherals,East,Direct,74,98899.29,20242.5,20.47,2023,1,1,2023-01
2023-01-05,Mouse Gaming,Accessories,East,Direct,59,91172.84,17355.08,19.04,2023,1,1,2023-01
2023-01-05,Smartphone X,Electronics,South,Retail,7,719.46,264.33,36.74,2023,1,1,2023-01
2023-01-05,Mouse Gaming,Peripherals,Central,Retail,59,10485.01,1746.74,16.66,2023,1,1,2023-01
2023-01-05,Mouse Gaming,Computers,South,Online,13,25660.4,7330.57,28.57,2023,1,1,2023-01
2023-01-06,Monitor 4K,Audio,East,Retail,44,60355.31,22024.16,36.49,2023,1,1,2023-01
2023-01-06,Printer Laser,Audio,West,Partner,97,19266.32,5442.55,28.25,2023,1,1,2023-01
2023-01-06,External SSD,Audio,South,Retail,42,45064.65,16854.19,37.4,2023,1,1,2023-01
2023-01-06,Mouse Gaming,Peripherals,North,Retail,40,27749.16,6268.04,22.59,2023,1,1,2023-01
2023-01-06,Mouse Gaming,Computers,Central,Online,97,145092.04,54973.69,37.89,2023,1,1,2023-01
2023-01-06,Smartphone X,Computers,North,Online,6,5567.63,810.89,14.56,2023,1,1,2023-01
2023-01-06,Printer Laser,Electronics,West,Online,19,35471.86,8457.24,23.84,2023,1,1,2023-01
2023-01-06,Desktop Computer,Electronics,Central,Direct,94,64257.01,25699.35,39.99,2023,1,1,2023-01
2023-01-07,Keyboard Mechanical,Accessories,East,Retail,19,16031.66,5571.25,34.75,2023,1,1,2023-01
2023-01-07,Mouse Gaming,Audio,East,Partner,76,29233.44,5483.64,18.76,2023,1,1,2023-01
2023-01-07,Keyboard Mechanical,Peripherals,South,Online,20,3618.54,1017.31,28.11,2023,1,1,2023-01
2023-01-07,Smart Watch,Accessories,West,Partner,73,111015.65,29635.08,26.69,2023,1,1,2023-01
2023-01-07,Tablet Plus,Computers,East,Online,48,6212.98,2309.74,37.18,2023,1,1,2023-01
2023-01-07,Tablet Plus,Audio,East,Partner,98,34612.13,6956.29,20.1,2023,1,1,2023-01
